,country,wdi_code,region_short,income_short,region,income,f_3,f_3_1,f_3_2,f_3_3,f_3_4,f_3_global,f_3_1_global,f_3_2_global,f_3_3_global,f_3_4_global,f_3_regional,f_3_1_regional,f_3_2_regional,f_3_3_regional,f_3_4_regional,f_3_income,f_3_1_income,f_3_2_income,f_3_3_income,f_3_4_income,q15c_dum,q15a_dum,q24a_dum,q24b_dum,q24c_dum,q24d_dum,q24e_dum,q21_dum,q20_dum,q20a_1_dum,q20a_2_dum,q20a_3_dum,q20a_4_dum,q20a_5_dum,q20a_6_dum,q20j1_dum,q20j2_dum,q20j3_dum,q20j4_dum,q20c_dum,q20e1_dum,q20e2_dum,q20e3_dum,q20e4_dum,q20e5_dum,q20f1_dum,q20f2_dum,q20i_dum,-,q20h_dum,q38g_dum,q38h_dum,q34a_dum,q15b_dum,q15d_dum,q15e_dum,q34d_dum,q34c_dum,q34f_dum,q34g_dum,q38c_dum,q38f_dum,,q15c_dum_maleC,q15c_dum_femaleC,q15a_dum_maleC,q15a_dum_femaleC,q24a_dum_maleC,q24a_dum_femaleC,q24b_dum_maleC,q24b_dum_femaleC,q24c_dum_maleC,q24c_dum_femaleC,q24d_dum_maleC,q24d_dum_femaleC,q24e_dum_maleC,q24e_dum_femaleC,q21_dum_maleC,q21_dum_femaleC,q20_dum_maleC,q20_dum_femaleC,q20a_1_dum_maleC,q20a_1_dum_femaleC,q20a_2_dum_maleC,q20a_2_dum_femaleC,q20a_3_dum_maleC,q20a_3_dum_femaleC,q20a_4_dum_maleC,q20a_4_dum_femaleC,q20a_5_dum_maleC,q20a_5_dum_femaleC,q20a_6_dum_maleC,q20a_6_dum_femaleC,q20j1_dum_maleC,q20j1_dum_femaleC,q20j2_dum_maleC,q20j2_dum_femaleC,q20j3_dum_maleC,q20j3_dum_femaleC,q20j4_dum_maleC,q20j4_dum_femaleC,q20c_dum_maleC,q20c_dum_femaleC,q20e1_dum_maleC,q20e1_dum_femaleC,q20e2_dum_maleC,q20e2_dum_femaleC,q20e3_dum_maleC,q20e3_dum_femaleC,q20e4_dum_maleC,q20e4_dum_femaleC,q20e5_dum_maleC,q20e5_dum_femaleC,q20f1_dum_maleC,q20f1_dum_femaleC,q20f2_dum_maleC,q20f2_dum_femaleC,q20i_dum_maleC,q20i_dum_femaleC,,,q20h_dum_maleC,q20h_dum_femaleC,q38g_dum_maleC,q38g_dum_femaleC,q38h_dum_maleC,q38h_dum_femaleC,q34a_dum_maleC,q34a_dum_femaleC,q15b_dum_maleC,q15b_dum_femaleC,q15d_dum_maleC,q15d_dum_femaleC,q15e_dum_maleC,q15e_dum_femaleC,q34d_dum_maleC,q34d_dum_femaleC,q34c_dum_maleC,q34c_dum_femaleC,q34f_dum_maleC,q34f_dum_femaleC,q34g_dum_maleC,q34g_dum_femaleC,q38c_dum_maleC,q38c_dum_femaleC,q38f_dum_maleC,q38f_dum_femaleC,,q15c_dum_poorC,q15c_dum_richC,q15a_dum_poorC,q15a_dum_richC,q24a_dum_poorC,q24a_dum_richC,q24b_dum_poorC,q24b_dum_richC,q24c_dum_poorC,q24c_dum_richC,q24d_dum_poorC,q24d_dum_richC,q24e_dum_poorC,q24e_dum_richC,q21_dum_poorC,q21_dum_richC,q20_dum_poorC,q20_dum_richC,q20a_1_dum_poorC,q20a_1_dum_richC,q20a_2_dum_poorC,q20a_2_dum_richC,q20a_3_dum_poorC,q20a_3_dum_richC,q20a_4_dum_poorC,q20a_4_dum_richC,q20a_5_dum_poorC,q20a_5_dum_richC,q20a_6_dum_poorC,q20a_6_dum_richC,q20j1_dum_poorC,q20j1_dum_richC,q20j2_dum_poorC,q20j2_dum_richC,q20j3_dum_poorC,q20j3_dum_richC,q20j4_dum_poorC,q20j4_dum_richC,q20c_dum_poorC,q20c_dum_richC,q20e1_dum_poorC,q20e1_dum_richC,q20e2_dum_poorC,q20e2_dum_richC,q20e3_dum_poorC,q20e3_dum_richC,q20e4_dum_poorC,q20e4_dum_richC,q20e5_dum_poorC,q20e5_dum_richC,q20f1_dum_poorC,q20f1_dum_richC,q20f2_dum_poorC,q20f2_dum_richC,q20i_dum_poorC,q20i_dum_richC,,,q20h_dum_poorC,q20h_dum_richC,q38g_dum_poorC,q38g_dum_richC,q38h_dum_poorC,q38h_dum_richC,q34a_dum_poorC,q34a_dum_richC,q15b_dum_poorC,q15b_dum_richC,q15d_dum_poorC,q15d_dum_richC,q15e_dum_poorC,q15e_dum_richC,q34d_dum_poorC,q34d_dum_richC,q34c_dum_poorC,q34c_dum_richC,q34f_dum_poorC,q34f_dum_richC,q34g_dum_poorC,q34g_dum_richC,q38c_dum_poorC,q38c_dum_richC,q38f_dum_poorC,q38f_dum_richC,
55,Kazakhstan,KAZ,ECA,UM,Eastern Europe & Central Asia,Upper middle ,0.44,0.47,0.56,0.35,0.38,85,49,47,94,94,12,6,7,11,13,27,11,11,27,29,0.32,0.19,0.71,0.56,0.60,0.67,0.60,0.42,0.12,0.61,0.22,0.02,0.07,0.06,0.02,0.83,0.10,0.05,0.01,0.83,0.77,0.22,0.01,0.00,0.00,0.71,0.29,0.89,,0.09,0.58,0.72,0.68,0.21,0.20,0.17,0.74,0.34,0.36,0.47,0.47,0.71,,0.32,0.32,0.19,0.19,0.69,0.73,0.52,0.61,0.58,0.63,0.65,0.70,0.60,0.60,0.43,0.40,0.11,0.13,0.63,0.60,0.30,0.15,0.00,0.04,0.07,0.06,0.00,0.11,0.00,0.04,0.85,0.82,0.08,0.12,0.05,0.06,0.02,0.01,0.85,0.81,0.71,0.81,0.26,0.19,0.03,0.00,0.00,0.00,0.00,0.00,0.65,0.76,0.35,0.24,0.83,0.95,,,0.06,0.12,0.57,0.59,0.72,0.71,0.69,0.67,0.19,0.22,0.21,0.18,0.17,0.17,0.75,0.73,0.35,0.33,0.38,0.35,0.50,0.45,0.47,0.46,0.72,0.69,,0.31,0.35,0.19,0.19,0.77,0.64,0.61,0.50,0.63,0.57,0.76,0.57,0.64,0.55,0.39,0.46,0.12,0.12,0.67,0.53,0.17,0.29,0.02,0.03,0.04,0.11,0.06,0.05,0.04,0.00,0.83,0.84,0.10,0.10,0.05,0.05,0.02,0.01,0.77,0.91,0.74,0.79,0.23,0.21,0.02,0.00,0.00,0.00,0.00,0.00,0.67,0.76,0.33,0.24,0.83,0.97,,,0.09,0.09,0.59,0.57,0.70,0.74,0.70,0.66,0.22,0.19,0.19,0.20,0.18,0.16,0.73,0.74,0.35,0.33,0.39,0.32,0.48,0.47,0.47,0.47,0.70,0.72,
56,Kenya,KEN,AFR,L,Sub-Saharan Africa,Low,0.46,0.33,0.41,0.58,0.49,79,93,88,61,70,11,12,12,9,8,7,11,9,7,5,0.43,0.41,0.67,0.65,0.50,0.52,0.65,0.38,0.11,0.43,0.16,0.09,0.15,0.17,0.00,0.60,0.19,0.14,0.07,0.33,0.23,0.49,0.14,0.11,0.03,0.51,0.49,0.27,,0.31,0.63,0.61,0.76,0.40,0.41,0.36,0.88,0.66,0.71,0.76,0.61,0.67,,0.41,0.45,0.40,0.43,0.66,0.68,0.63,0.66,0.49,0.52,0.47,0.56,0.63,0.67,0.40,0.37,0.11,0.12,0.31,0.53,0.23,0.10,0.10,0.09,0.17,0.12,0.19,0.16,0.00,0.00,0.59,0.62,0.18,0.20,0.15,0.13,0.09,0.05,0.35,0.32,0.35,0.11,0.35,0.61,0.18,0.11,0.12,0.11,0.00,0.06,0.53,0.50,0.47,0.50,0.34,0.20,,,0.28,0.33,0.64,0.62,0.63,0.59,0.77,0.75,0.38,0.42,0.39,0.43,0.34,0.38,0.88,0.88,0.68,0.65,0.72,0.70,0.79,0.73,0.64,0.59,0.64,0.69,,0.41,0.48,0.39,0.46,0.68,0.68,0.62,0.69,0.48,0.53,0.52,0.54,0.65,0.66,0.42,0.35,0.11,0.12,0.48,0.41,0.13,0.19,0.06,0.09,0.19,0.09,0.13,0.22,0.00,0.00,0.59,0.62,0.20,0.20,0.15,0.12,0.07,0.07,0.21,0.43,0.30,0.22,0.30,0.57,0.20,0.13,0.10,0.09,0.10,0.00,0.20,0.65,0.80,0.35,0.20,0.33,,,0.27,0.30,0.62,0.64,0.59,0.63,0.75,0.77,0.40,0.42,0.39,0.44,0.34,0.39,0.87,0.89,0.62,0.72,0.63,0.78,0.70,0.82,0.60,0.62,0.62,0.73,
57,Kyrgyzstan,KYZ,ECA,LM,Eastern Europe & Central Asia,Lower middle ,0.50,0.42,0.56,0.57,0.46,64,70,43,64,81,8,12,6,7,11,12,14,5,11,18,0.33,0.34,0.53,0.53,0.48,0.43,0.55,0.48,0.12,0.30,0.28,0.13,0.10,0.20,0.00,0.63,0.16,0.14,0.06,0.71,0.47,0.43,0.07,0.01,0.01,0.45,0.55,0.86,,0.22,0.62,0.71,0.77,0.28,0.26,0.25,0.79,0.68,0.60,0.64,0.58,0.61,,0.34,0.33,0.34,0.33,0.51,0.56,0.51,0.55,0.44,0.52,0.44,0.42,0.51,0.60,0.51,0.46,0.12,0.13,0.29,0.31,0.29,0.27,0.13,0.12,0.12,0.08,0.17,0.23,0.00,0.00,0.63,0.63,0.16,0.17,0.14,0.14,0.07,0.06,0.76,0.67,0.51,0.43,0.41,0.46,0.08,0.05,0.00,0.03,0.00,0.03,0.50,0.40,0.50,0.60,0.89,0.83,,,0.21,0.24,0.61,0.63,0.71,0.71,0.77,0.76,0.28,0.27,0.26,0.26,0.24,0.26,0.79,0.79,0.70,0.65,0.61,0.59,0.67,0.62,0.59,0.57,0.61,0.60,,0.36,0.29,0.37,0.28,0.49,0.60,0.52,0.54,0.42,0.55,0.44,0.42,0.50,0.62,0.48,0.49,0.12,0.12,0.35,0.21,0.35,0.17,0.05,0.24,0.06,0.14,0.18,0.24,0.00,0.00,0.66,0.58,0.16,0.17,0.14,0.15,0.04,0.10,0.71,0.70,0.48,0.47,0.43,0.43,0.07,0.07,0.00,0.03,0.02,0.00,0.43,0.48,0.57,0.52,0.86,0.86,,,0.22,0.23,0.62,0.62,0.71,0.70,0.74,0.81,0.31,0.23,0.28,0.22,0.26,0.22,0.78,0.81,0.69,0.66,0.60,0.60,0.67,0.61,0.58,0.57,0.62,0.59,
58,Lebanon,LBN,MENA,UM,Middle East & North Africa,Upper middle ,0.45,0.36,0.38,0.60,0.46,81,88,100,51,80,5,7,7,2,4,25,31,31,14,25,0.47,0.37,0.61,0.61,0.59,0.54,0.60,0.17,0.07,0.36,0.17,0.14,0.07,0.16,0.10,0.47,0.27,0.15,0.10,0.60,0.33,0.39,0.19,0.00,0.08,0.54,0.46,0.68,,0.20,0.51,0.61,0.80,0.44,0.44,0.40,0.76,0.73,0.70,0.72,0.69,0.76,,0.44,0.49,0.34,0.40,0.60,0.63,0.63,0.59,0.61,0.58,0.52,0.56,0.61,0.60,0.20,0.14,0.08,0.06,0.28,0.45,0.21,0.13,0.18,0.10,0.08,0.06,0.10,0.23,0.15,0.03,0.46,0.49,0.27,0.28,0.15,0.16,0.13,0.07,0.77,0.38,0.42,0.10,0.31,0.60,0.15,0.30,0.00,0.00,0.12,0.00,0.50,0.64,0.50,0.36,0.76,0.58,,,0.23,0.09,0.50,0.52,0.62,0.60,0.80,0.80,0.42,0.45,0.41,0.47,0.38,0.42,0.76,0.75,0.72,0.73,0.70,0.71,0.71,0.73,0.69,0.69,0.77,0.74,,0.48,0.46,0.37,0.36,0.64,0.58,0.61,0.62,0.61,0.58,0.57,0.51,0.62,0.58,0.16,0.18,0.07,0.08,0.39,0.32,0.24,0.11,0.06,0.22,0.06,0.08,0.09,0.22,0.15,0.05,0.49,0.45,0.27,0.28,0.14,0.17,0.10,0.10,0.61,0.60,0.32,0.35,0.47,0.29,0.11,0.29,0.00,0.00,0.11,0.06,0.55,0.52,0.45,0.48,0.68,0.68,,,0.20,0.19,0.53,0.49,0.62,0.60,0.81,0.79,0.44,0.43,0.43,0.44,0.42,0.39,0.75,0.76,0.71,0.74,0.71,0.70,0.72,0.73,0.69,0.70,0.74,0.78,
59,Liberia,LBR,AFR,L,Sub-Saharan Africa,Low,0.48,0.35,0.44,0.66,0.47,71,90,81,33,79,7,10,9,6,11,4,10,7,3,7,0.59,0.61,0.68,0.61,0.53,0.51,,0.56,0.13,0.15,0.15,0.14,0.30,0.21,0.06,0.46,0.18,0.23,0.13,0.67,0.13,0.57,0.14,0.08,0.08,0.44,0.56,0.69,,0.13,0.90,0.86,0.90,0.58,,0.61,,0.92,0.90,0.87,0.85,0.93,,0.58,0.61,0.62,0.59,0.63,0.74,0.61,0.62,0.51,0.55,0.50,0.54,,,0.58,0.54,0.14,0.13,0.15,0.13,0.11,0.19,0.16,0.10,0.30,0.29,0.20,0.23,0.06,0.06,0.42,0.51,0.19,0.17,0.25,0.20,0.15,0.12,0.66,0.68,0.14,0.11,0.63,0.50,0.09,0.21,0.09,0.07,0.06,0.11,0.54,0.32,0.46,0.68,0.64,0.74,,,0.10,0.18,0.89,0.90,0.86,0.86,0.90,0.89,0.57,0.59,,,0.62,0.61,,,0.93,0.91,0.90,0.92,0.87,0.87,0.83,0.88,0.94,0.92,,0.55,0.55,0.54,0.66,0.65,0.67,0.64,0.56,0.50,0.53,0.50,0.47,,,0.53,0.60,0.10,0.22,0.17,0.08,0.13,0.13,0.15,0.15,0.28,0.36,0.24,0.21,0.04,0.08,0.45,0.41,0.19,0.15,0.23,0.24,0.13,0.19,0.76,0.57,0.16,0.10,0.61,0.55,0.13,0.15,0.03,0.15,0.06,0.05,0.42,0.50,0.58,0.50,0.76,0.68,,,0.14,0.14,0.87,0.92,0.84,0.89,0.89,0.90,0.50,0.68,,,0.55,0.68,,,0.91,0.91,0.89,0.93,0.88,0.82,0.84,0.85,0.93,0.93,
60,"Macedonia, FYR",MKD,ECA,UM,Eastern Europe & Central Asia,Upper middle ,0.57,0.57,0.61,0.58,0.54,34,20,28,57,54,3,1,3,5,5,4,1,3,17,15,0.81,0.50,0.56,0.58,0.40,0.50,0.49,0.46,0.04,0.24,0.15,0.20,0.05,0.37,0.00,0.39,0.48,0.12,0.01,0.98,0.95,0.00,0.05,0.00,0.00,0.95,0.05,0.98,,0.00,0.65,0.61,0.94,0.50,0.70,0.45,0.87,0.54,0.34,0.49,0.33,0.92,,0.81,0.80,0.51,0.49,0.54,0.58,0.56,0.59,0.40,0.41,0.48,0.53,0.48,0.50,0.47,0.45,0.04,0.05,0.17,0.30,0.11,0.17,0.28,0.13,0.06,0.04,0.39,0.35,0.00,0.00,0.39,0.39,0.47,0.49,0.12,0.11,0.01,0.00,0.95,1.00,1.00,0.91,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,1.00,0.91,0.00,0.09,1.00,0.95,,,0.00,0.00,0.67,0.63,0.64,0.58,0.95,0.93,0.52,0.47,0.68,0.72,0.45,0.45,0.89,0.85,0.58,0.51,0.37,0.30,0.51,0.48,0.37,0.29,0.92,0.91,,0.82,0.79,0.47,0.56,0.54,0.59,0.59,0.56,0.38,0.44,0.47,0.55,0.47,0.51,0.46,0.46,0.04,0.05,0.23,0.26,0.14,0.16,0.18,0.21,0.00,0.11,0.45,0.26,0.00,0.00,0.41,0.37,0.47,0.49,0.10,0.14,0.01,0.00,1.00,0.95,1.00,0.89,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,1.00,0.89,0.00,0.11,1.00,0.95,,,0.00,0.00,0.66,0.64,0.59,0.64,0.96,0.91,0.50,0.49,0.69,0.71,0.44,0.47,0.86,0.87,0.56,0.52,0.34,0.34,0.47,0.52,0.32,0.34,0.91,0.92,
61,Madagascar,MDG,AFR,L,Sub-Saharan Africa,Low,0.47,0.45,0.46,0.54,0.42,74,58,77,74,87,9,2,6,13,13,6,3,4,9,9,0.64,0.52,0.60,0.52,0.50,0.45,0.58,0.43,0.08,0.63,0.11,0.02,0.04,0.11,0.09,0.65,0.24,0.08,0.03,0.61,0.41,0.37,0.10,0.04,0.08,0.67,0.33,0.45,,0.18,0.65,0.73,0.84,0.57,0.61,0.51,0.85,0.66,0.70,0.71,0.58,0.85,,0.66,0.62,0.55,0.50,0.61,0.59,0.51,0.52,0.52,0.49,0.44,0.46,0.59,0.57,0.45,0.40,0.09,0.07,0.67,0.58,0.11,0.11,0.02,0.03,0.04,0.03,0.07,0.17,0.09,0.08,0.66,0.64,0.24,0.25,0.07,0.08,0.03,0.03,0.61,0.61,0.36,0.48,0.43,0.29,0.07,0.14,0.04,0.05,0.11,0.05,0.62,0.73,0.38,0.27,0.43,0.47,,,0.15,0.23,0.65,0.65,0.72,0.74,0.84,0.83,0.60,0.54,0.62,0.61,0.52,0.51,0.85,0.86,0.64,0.68,0.69,0.70,0.73,0.70,0.56,0.59,0.87,0.84,,0.64,0.66,0.55,0.50,0.60,0.60,0.50,0.52,0.46,0.58,0.43,0.50,0.58,0.60,0.38,0.51,0.05,0.13,0.69,0.65,0.08,0.14,0.00,0.02,0.00,0.02,0.08,0.12,0.15,0.05,0.62,0.67,0.28,0.19,0.08,0.10,0.02,0.04,0.58,0.67,0.27,0.48,0.33,0.34,0.07,0.14,0.13,0.00,0.20,0.03,0.73,0.59,0.27,0.41,0.38,0.49,,,0.21,0.17,0.67,0.63,0.73,0.75,0.85,0.83,0.58,0.55,0.62,0.60,0.52,0.52,0.86,0.85,0.67,0.64,0.69,0.72,0.72,0.70,0.55,0.60,0.86,0.87,
62,Malawi,MWI,AFR,L,Sub-Saharan Africa,Low,0.50,0.36,0.38,0.71,0.54,65,89,96,26,55,6,9,16,4,6,3,9,14,1,4,0.56,0.51,0.68,0.61,0.52,0.56,0.56,0.40,0.15,0.22,0.22,0.12,0.22,0.16,0.05,0.36,0.30,0.19,0.16,0.62,0.08,0.54,0.18,0.11,0.09,0.55,0.45,0.47,,0.34,0.77,0.75,0.84,0.50,0.54,0.53,0.90,0.80,0.75,0.79,0.68,0.88,,0.58,0.54,0.53,0.50,0.67,0.69,0.61,0.61,0.52,0.51,0.55,0.56,0.58,0.54,0.42,0.38,0.14,0.15,0.30,0.15,0.21,0.23,0.12,0.12,0.22,0.22,0.12,0.21,0.03,0.07,0.34,0.37,0.29,0.30,0.20,0.17,0.17,0.15,0.63,0.61,0.05,0.11,0.41,0.67,0.18,0.17,0.20,0.02,0.16,0.02,0.60,0.50,0.40,0.50,0.52,0.43,,,0.32,0.36,0.77,0.76,0.77,0.73,0.84,0.84,0.53,0.47,0.53,0.54,0.55,0.51,0.90,0.90,0.81,0.79,0.77,0.73,0.80,0.78,0.70,0.66,0.88,0.88,,0.59,0.51,0.52,0.50,0.68,0.68,0.62,0.58,0.54,0.46,0.57,0.54,0.57,0.54,0.42,0.35,0.17,0.10,0.20,0.30,0.20,0.30,0.12,0.13,0.27,0.03,0.16,0.17,0.05,0.07,0.38,0.31,0.27,0.34,0.18,0.20,0.16,0.15,0.61,0.65,0.09,0.05,0.57,0.45,0.16,0.25,0.10,0.15,0.09,0.10,0.64,0.25,0.36,0.75,0.53,0.27,,,0.28,0.55,0.80,0.70,0.79,0.65,0.85,0.82,0.51,0.48,0.57,0.47,0.56,0.47,0.90,0.88,0.82,0.74,0.79,0.65,0.83,0.71,0.74,0.56,0.89,0.85,
63,Malaysia,MYS,EAP,UM,East Asia & Pacific,Upper middle ,0.43,0.51,0.46,0.37,0.37,88,34,76,90,95,13,9,12,12,13,29,6,26,25,30,0.66,0.52,0.81,,0.81,0.93,0.76,0.76,0.04,0.49,0.00,0.00,0.02,0.49,0.00,,,,,0.95,0.15,0.54,0.26,0.05,0.00,0.67,0.33,0.66,,0.00,0.49,0.53,0.55,0.48,0.46,0.42,0.58,0.44,0.41,0.45,0.48,0.51,,0.61,0.71,0.46,0.58,0.81,0.81,,,0.81,0.81,0.93,0.93,0.76,0.77,0.75,0.76,0.04,0.04,0.63,0.36,0.00,0.00,0.00,0.00,0.00,0.05,0.37,0.59,0.00,0.00,,,,,,,,,1.00,0.91,0.11,0.20,0.58,0.50,0.26,0.25,0.05,0.05,0.00,0.00,0.79,0.55,0.21,0.45,0.79,0.55,,,0.00,0.00,0.51,0.47,0.53,0.53,0.56,0.53,0.44,0.52,0.44,0.49,0.39,0.45,0.58,0.58,0.44,0.44,0.38,0.43,0.43,0.47,0.51,0.46,0.53,0.49,,0.63,0.65,0.48,0.53,0.80,0.83,,,0.80,0.83,0.93,0.93,0.76,0.76,0.73,0.80,0.04,0.05,0.50,0.57,0.00,0.00,0.00,0.00,0.04,0.00,0.46,0.43,0.00,0.00,,,,,,,,,0.96,0.86,0.09,0.50,0.61,0.33,0.22,0.17,0.09,0.00,0.00,0.00,0.65,0.83,0.35,0.17,0.67,0.71,,,0.00,0.00,0.50,0.56,0.54,0.58,0.52,0.61,0.45,0.50,0.43,0.49,0.39,0.43,0.56,0.59,0.41,0.50,0.37,0.46,0.41,0.50,0.47,0.58,0.52,0.56,
64,Mexico,MEX,LAC,UM,Latin America & Caribbean,Upper middle ,0.56,0.43,0.61,0.56,0.62,42,64,29,67,34,6,9,3,14,6,8,21,4,19,6,0.44,0.38,0.53,,,0.42,0.48,0.45,0.15,0.50,0.09,0.01,0.24,0.07,0.09,0.48,0.24,0.12,0.15,0.79,0.66,0.29,0.03,0.00,0.02,0.84,0.16,0.77,,0.08,0.51,,0.70,0.36,0.36,0.35,0.66,0.58,0.48,0.51,0.36,0.57,,0.48,0.39,0.38,0.37,0.53,0.53,,,,,0.41,0.42,0.51,0.45,0.50,0.40,0.15,0.16,0.49,0.50,0.07,0.11,0.01,0.00,0.27,0.22,0.07,0.08,0.08,0.09,0.49,0.47,0.21,0.28,0.13,0.11,0.16,0.14,0.77,0.82,0.62,0.70,0.28,0.30,0.07,0.00,0.00,0.00,0.03,0.00,0.84,0.84,0.16,0.16,0.76,0.78,,,0.05,0.11,0.54,0.48,,,0.72,0.69,0.38,0.33,0.37,0.35,0.35,0.36,0.64,0.68,0.57,0.58,0.49,0.46,0.54,0.47,0.38,0.34,0.60,0.55,,0.34,0.59,0.31,0.56,0.42,0.72,,,,,0.32,0.60,0.36,0.65,0.43,0.53,0.07,0.34,0.47,0.53,0.07,0.08,0.00,0.01,0.37,0.18,0.03,0.07,0.07,0.12,0.46,0.54,0.24,0.20,0.13,0.12,0.17,0.14,0.64,0.94,0.60,0.69,0.35,0.29,0.00,0.03,0.00,0.00,0.05,0.00,0.62,0.92,0.38,0.08,0.65,0.91,,,0.10,0.08,0.46,0.57,,,0.69,0.76,0.28,0.51,0.28,0.51,0.27,0.49,0.62,0.70,0.55,0.66,0.41,0.62,0.44,0.64,0.29,0.50,0.56,0.62,
65,Moldova,MDA,ECA,LM,Eastern Europe & Central Asia,Lower middle ,0.55,0.46,0.55,0.57,0.63,46,54,51,62,27,5,7,8,6,1,6,9,8,10,1,0.40,0.49,0.60,0.35,0.44,0.55,0.49,0.44,0.05,0.19,0.29,0.08,0.31,0.13,0.00,0.31,0.51,0.17,0.01,0.93,0.19,0.40,0.38,0.02,0.02,0.54,0.46,0.58,,0.33,0.72,0.66,0.79,0.32,0.43,0.43,0.86,0.66,0.49,0.53,0.23,0.82,,0.40,0.40,0.51,0.47,0.59,0.60,0.34,0.37,0.46,0.41,0.55,0.54,0.48,0.51,0.48,0.40,0.04,0.06,0.28,0.13,0.28,0.30,0.00,0.13,0.39,0.27,0.06,0.17,0.00,0.00,0.31,0.32,0.51,0.51,0.18,0.17,0.01,0.00,0.90,0.94,0.17,0.20,0.50,0.33,0.33,0.40,0.00,0.03,0.00,0.03,0.61,0.50,0.39,0.50,0.56,0.60,,,0.31,0.35,0.72,0.72,0.66,0.66,0.80,0.77,0.34,0.30,0.44,0.42,0.44,0.43,0.87,0.85,0.68,0.64,0.51,0.48,0.54,0.53,0.24,0.22,0.80,0.83,,0.41,0.37,0.49,0.47,0.59,0.63,0.35,0.36,0.44,0.40,0.54,0.58,0.48,0.56,0.44,0.40,0.05,0.05,0.18,0.22,0.28,0.33,0.10,0.00,0.31,0.33,0.13,0.11,0.00,0.00,0.31,0.33,0.50,0.54,0.18,0.13,0.01,0.01,0.96,0.75,0.21,0.11,0.41,0.33,0.33,0.56,0.03,0.00,0.03,0.00,0.54,0.56,0.46,0.44,0.59,0.56,,,0.39,0.00,0.71,0.76,0.64,0.73,0.80,0.75,0.32,0.31,0.44,0.39,0.44,0.42,0.85,0.88,0.68,0.61,0.50,0.46,0.54,0.50,0.24,0.19,0.82,0.82,
66,Mongolia,MNG,EAP,LM,East Asia & Pacific,Lower middle ,0.46,0.32,0.52,0.60,0.39,75,97,58,52,92,10,15,10,7,12,16,24,11,8,22,0.16,0.20,0.50,0.47,0.41,0.45,0.44,0.15,0.13,0.63,0.13,0.04,0.05,0.04,0.11,0.68,0.22,0.04,0.05,0.63,0.66,0.23,0.05,0.03,0.04,0.79,0.21,0.55,,0.03,0.53,0.59,0.86,0.18,0.21,0.23,0.81,0.67,0.59,0.62,0.55,0.79,,0.14,0.17,0.21,0.20,0.51,0.50,0.46,0.48,0.40,0.41,0.45,0.46,0.43,0.46,0.15,0.14,0.12,0.13,0.63,0.62,0.18,0.09,0.07,0.02,0.03,0.06,0.02,0.06,0.07,0.15,0.69,0.68,0.23,0.22,0.04,0.05,0.04,0.05,0.68,0.59,0.66,0.67,0.27,0.18,0.02,0.08,0.02,0.03,0.02,0.05,0.80,0.77,0.20,0.23,0.60,0.51,,,0.00,0.05,0.53,0.53,0.58,0.59,0.87,0.85,0.17,0.19,0.21,0.21,0.22,0.24,0.82,0.80,0.65,0.68,0.65,0.54,0.66,0.58,0.56,0.55,0.79,0.80,,0.15,0.16,0.20,0.20,0.50,0.51,0.44,0.51,0.39,0.44,0.42,0.49,0.41,0.48,0.11,0.22,0.10,0.16,0.79,0.47,0.09,0.18,0.04,0.05,0.02,0.08,0.02,0.06,0.05,0.16,0.68,0.70,0.23,0.21,0.04,0.04,0.05,0.05,0.63,0.61,0.78,0.55,0.17,0.26,0.03,0.08,0.00,0.05,0.03,0.05,0.83,0.74,0.17,0.26,0.60,0.48,,,0.00,0.05,0.52,0.54,0.58,0.60,0.85,0.88,0.18,0.17,0.21,0.21,0.24,0.21,0.82,0.79,0.66,0.67,0.61,0.57,0.62,0.63,0.58,0.51,0.77,0.82,
